42.5,-0.009477,-4e-06,2.8e-05,-5.7841,79.862,80,0,16.335,0,0,0,-21.469,140,0.58052,-38981,-1.6372e+05,-21.469,140,0.58052,-38981,1.6372e+05
43,-0.015012,-3e-06,2.3e-05,-5.7902,79.861,80,0,31.46,0,0,0,-18.999,140,1.1083,-31335,-1.3161e+05,-18.999,140,1.1083,-31335,1.3161e+05
43.5,-0.019296,-2e-06,1.8e-05,-5.7987,79.859,80,0,46.585,0,0,0,-15.294,140,1.636,-25838,-1.0852e+05,-15.294,140,1.636,-25838,1.0852e+05
44,-0.02259,-6e-06,3.4e-05,-5.8091,79.857,80,0,61.71,0,0,0,-12.823,140,2.1638,-20348,-85461,-12.823,140,2.1638,-20348,85461
44.5,-0.02493,2e-06,-3e-06,-5.8208,79.855,80,0,76.835,0,0,0,-9.118,140,2.6915,-14819,-62239,-9.118,140,2.6915,-14819,62239
45,-0.026345,1e-06,1e-06,-5.8335,79.853,80,0,91.96,0,0,0,-6.6478,140,3.2193,-9263.4,-38906,-6.6478,140,3.2193,-9263.4,38906
45.5,-0.026861,-4e-06,2.7e-05,-5.8466,79.851,80,0,107.08,0,0,0,-2.9425,140,3.747,-3696.2,-15524,-2.9425,140,3.747,-3696.2,15524
46,-0.026584,-1e-06,1.1e-05,-5.8598,79.848,80,0,122.21,0,0,0,-0.47225,140,4.0916,-6.0998,-25.619,-0.47225,140,4.0916,-6.1003,25.621
46.5,-0.026295,-2e-06,1.7e-05,-5.8728,79.846,80,0,137.34,0,0,0,-0,140,4.0916,-5.7925,-24.329,-0,140,4.0916,-5.793,24.331
47,-0.026108,1.8e-05,8e-05,-5.8857,79.844,80,0,152.46,0.78665,835.11,24630,0,140,4.0916,-5.7954,-24.341,0,140,4.0916,-5.7979,24.351
47.5,-0.025956,0.000177,0.00073,-5.8985,79.842,80,3.6314,167.59,2.3338,3112.3,91792,0,140,4.0916,-5.7987,-24.355,0,140,4.0916,-5.8224,24.454
48,-0.025807,0.000414,0.001794,-5.9112,79.839,80.001,5.2381,182.71,2.36,3749,1.1057e+05,0,140,4.0916,-5.7844,-24.294,0,140,4.0916,-5.8435,24.543
48.5,-0.025646,0.00063,0.002851,-5.9239,79.837,80.002,6.38,197.84,2.36,4394.9,1.2962e+05,0,140,4.0916,-5.7497,-24.149,0,140,4.0916,-5.844,24.545
49,-0.025471,0.000841,0.003948,-5.9364,79.834,80.004,7.2038,212.96,2.36,5092.1,1.5018e+05,0,140,4.0916,-5.6929,-23.91,0,140,4.0916,-5.8239,24.46
49.5,-0.025286,0.001071,0.005182,-5.9488,79.831,80.006,8.5331,228.09,2.36,5840.5,1.7225e+05,0,140,4.0916,-5.6179,-23.595,0,140,4.0916,-5.79,24.318
50,-0.025026,0.001338,0.006658,-5.9611,79.829,80.009,9.4819,241.95,2.36,6571.4,1.9381e+05,0,140,4.3555,2628,11038,0,140,4.0916,-5.737,24.096
50.5,-0.024291,0.001608,0.008438,-5.9731,79.826,80.013,10,242,2.36,6573,1.9386e+05,2.7054,140,4.8832,8119.5,34102,0,140,4.0916,-5.5763,23.42
51,-0.022955,0.001859,0.01038,-5.9846,79.823,80.017,10,242,2.36,6571.9,1.9383e+05,4.5091,140,5.411,13617,57191,0,140,4.3555,2627.9,-11037
51.5,-0.020622,0.002103,0.012269,-5.9952,79.82,80.023,10,242,2.36,6570.9,1.9379e+05,7.2145,140,5.9387,19119,80299,2.7054,140,4.8832,8117.2,-34092
52,-0.017229,0.002346,0.014107,-6.0044,79.817,80.03,10,242,2.36,6569.8,1.9376e+05,9.0181,140,6.4665,25264,1.0611e+05,4.5091,140,5.411,13610,-57160
52.5,-0.012639,0.002596,0.016012,-6.0116,79.815,80.037,10,242,2.36,6568.8,1.9373e+05,11.724,140,6.9942,32910,1.3822e+05,7.2145,140,5.9387,19103,-80233
53,-0.006808,0.002852,0.01801,-6.0162,79.813,80.046,10,242,2.36,6567.7,1.937e+05,13.527,140,7.522,40562,1.7036e+05,9.0181,140,6.4293,24842,-1.0434e+05
53.5,-2.6e-05,0.003111,0.020218,-6.0176,79.811,80.055,10,242,2.36,6566.5,1.9366e+05,16.233,140,8.0497,48223,2.0254e+05,10,140,6.4325,24874,-1.0447e+05
54,0.00742,0.003369,0.02274,-6.0155,79.809,80.066,10,242,2.36,6565.1,1.9362e+05,18.036,140,8.5775,55893,2.3475e+05,10,140,6.4325,24850,-1.0437e+05
54.5,0.015376,0.003619,0.025434,-6.0096,79.809,80.078,10,242,2.36,6563.7,1.9358e+05,20,140,8.7733,58866,2.4724e+05,10,140,6.4325,24824,-1.0426e+05
55,0.02328,0.003861,0.027974,-5.9998,79.809,80.091,10,242,2.36,6562.3,1.9354e+05,20,140,8.7733,58820,2.4705e+05,10,140,6.4325,24798,-1.0415e+05
55.5,0.031097,0.004097,0.030391,-5.986,79.809,80.106,10,242,2.36,6561,1.935e+05,20,140,8.7733,58775,2.4685e+05,10,140,6.4325,24772,-1.0404e+05
